id,tier,family,url,h1,title_tag,primary_query,queries,impressions,clicks,conversions,words,content_blocks,top_queries
11,1,packages-from-city,/packages/from/jaipur,Kashmir Tour Packages from Jaipur,"Kashmir Tour Packages from Jaipur - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from jaipur,83,707,35,1.0,1200-1600,"Live round-trip airfare band Jaipur to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Jaipur: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Jaipur, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Jaipur arrival time, not a generic Day 1 | Best months to fly from Jaipur and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Jaipur, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/jaipur-to-srinagar-flight",jaipur to kashmir flight (127) ; jaipur to vaishno devi trip (70) ; jaipur to kashmir (54) ; airfare from jaipur to srinagar (34) ; jaipur to srinagar flight (30) ; airfare to srinagar from jaipur (24) ; kashmir tour package from jaipur (18) ; jaipur to kashmir train (17)
12,1,packages-from-city,/packages/from/amritsar,Kashmir Tour Packages from Amritsar,"Kashmir Tour Packages from Amritsar - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from amritsar,109,922,25,2.0,1200-1600,"Live round-trip airfare band Amritsar to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Amritsar: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Amritsar, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Amritsar arrival time, not a generic Day 1 | Best months to fly from Amritsar and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Amritsar, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/amritsar-to-srinagar-flight",amritsar to kashmir by train (114) ; amritsar to kashmir flight (92) ; amritsar to srinagar by road (83) ; amritsar to katra (68) ; amritsar to kashmir (51) ; amritsar to kashmir by road (47) ; vaishno devi and amritsar tour package (28) ; katra to amritsar (28)
13,1,packages-from-city,/packages/from/nagpur,Kashmir Tour Packages from Nagpur,"Kashmir Tour Packages from Nagpur - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from nagpur,51,418,18,1.0,1200-1600,"Live round-trip airfare band Nagpur to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Nagpur: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Nagpur, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Nagpur arrival time, not a generic Day 1 | Best months to fly from Nagpur and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Nagpur, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/nagpur-to-srinagar-flight",nagpur to kashmir (109) ; nagpur to kashmir flight (46) ; kashmir tour packages from nagpur (40) ; nagpur to kashmir by train (36) ; nagpur to srinagar (15) ; airfare from nagpur to srinagar (15) ; how to go kashmir from nagpur (15) ; nagpur se kashmir kaise jaen (14)
14,1,packages-from-city,/packages/from/indore,Kashmir Tour Packages from Indore,"Kashmir Tour Packages from Indore - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from indore,55,450,15,1.0,1200-1600,"Live round-trip airfare band Indore to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Indore: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Indore, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Indore arrival time, not a generic Day 1 | Best months to fly from Indore and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Indore, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/indore-to-srinagar-flight",indore to kashmir (94) ; indore to kashmir flight (51) ; indore to vaishno devi tour package (40) ; indore to kashmir train (32) ; indore to srinagar flight (25) ; indore se kashmir kaise jaen (18) ; airfare from indore to srinagar (16) ; indore kashmir (16)
15,1,packages-from-city,/packages/from/kochi,Kashmir Tour Packages from Kochi,"Kashmir Tour Packages from Kochi - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from kochi,50,483,36,3.0,1200-1600,"Live round-trip airfare band Kochi to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Kochi: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Kochi, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Kochi arrival time, not a generic Day 1 | Best months to fly from Kochi and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Kochi, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/kochi-to-srinagar-flight",kochi to kashmir flight (122) ; kochi to kashmir train (52) ; airfare from kochi to srinagar (43) ; ernakulam to kashmir train (39) ; kochi to kashmir (37) ; airfare to srinagar from kochi (20) ; kashmir tour packages from kochi (16) ; kashmir tour package from kochi (16)
16,1,packages-from-city,/packages/from/guwahati,Kashmir Tour Packages from Guwahati,"Kashmir Tour Packages from Guwahati - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from guwahati,39,310,19,1.5,1200-1600,"Live round-trip airfare band Guwahati to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Guwahati: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Guwahati, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Guwahati arrival time, not a generic Day 1 | Best months to fly from Guwahati and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Guwahati, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/guwahati-to-srinagar-flight",guwahati to kashmir (84) ; guwahati to kashmir flight (81) ; guwahati to kashmir train (32) ; guwahati to kashmir trip (15) ; kashmir tour package from guwahati (9) ; how to go kashmir from guwahati (9) ; flight from guwahati to kashmir (9) ; guwahati to kashmir flight ticket price (9)
17,1,packages-from-city,/packages/from/patna,Kashmir Tour Packages from Patna,"Kashmir Tour Packages from Patna - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from patna,30,300,7,2.0,1200-1600,"Live round-trip airfare band Patna to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Patna: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Patna, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Patna arrival time, not a generic Day 1 | Best months to fly from Patna and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Patna, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/patna-to-srinagar-flight",patna to kashmir (94) ; patna se jammu kashmir kaise jaen (35) ; patna se srinagar kaise jaye (32) ; patna to kashmir flight (22) ; patna to vaishno devi trip (18) ; airfare from patna to srinagar (15) ; patna se kashmir kaise jaen (15) ; patna to kashmir by train (10)
18,1,packages-from-city,/packages/from/dehradun,Kashmir Tour Packages from Dehradun,"Kashmir Tour Packages from Dehradun - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from dehradun,35,261,6,0.0,1200-1600,"Live round-trip airfare band Dehradun to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Dehradun: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Dehradun, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Dehradun arrival time, not a generic Day 1 | Best months to fly from Dehradun and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Dehradun, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/dehradun-to-srinagar-flight",dehradun to kashmir flight (54) ; dehradun to kashmir (38) ; dehradun to srinagar (31) ; dehradun to srinagar uttarakhand (18) ; dehradun to kashmir by train (15) ; dehradun kashmir (15) ; dehradun to srinagar flight (11) ; dehradun se srinagar (10)
19,1,packages-from-city,/packages/from/varanasi,Kashmir Tour Packages from Varanasi,"Kashmir Tour Packages from Varanasi - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from varanasi,21,99,6,0.0,1200-1600,"Live round-trip airfare band Varanasi to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Varanasi: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Varanasi, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Varanasi arrival time, not a generic Day 1 | Best months to fly from Varanasi and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Varanasi, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/varanasi-to-srinagar-flight",varanasi to kashmir flight (24) ; varanasi se kashmir kaise jaye (13) ; varanasi to kashmir (10) ; varanasi to kashmir by train (7) ; varanasi to jammu kashmir (7) ; vaishno devi tour package from varanasi (6) ; varanasi to kashmir train (5) ; varanasi to gulmarg (4)
20,1,packages-from-city,/packages/from/bhopal,Kashmir Tour Packages from Bhopal,"Kashmir Tour Packages from Bhopal - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from bhopal,25,161,3,0.0,1200-1600,"Live round-trip airfare band Bhopal to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Bhopal: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Bhopal, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Bhopal arrival time, not a generic Day 1 | Best months to fly from Bhopal and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Bhopal, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/bhopal-to-srinagar-flight",bhopal to kashmir (62) ; bhopal to kashmir flight (24) ; bhopal to vaishno devi tour package (13) ; bhopal to srinagar kashmir train (11) ; bhopal to kashmir flight ticket price (9) ; airfare from bhopal to srinagar (6) ; bhopal to gulmarg (5) ; bhopal se kashmir kaise jaen (4)
21,1,packages-from-city,/packages/from/vadodara,Kashmir Tour Packages from Vadodara,"Kashmir Tour Packages from Vadodara - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from vadodara,25,120,11,0.0,1200-1600,"Live round-trip airfare band Vadodara to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Vadodara: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Vadodara, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Vadodara arrival time, not a generic Day 1 | Best months to fly from Vadodara and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Vadodara, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/vadodara-to-srinagar-flight",vadodara to kashmir flight (25) ; kashmir tour package from vadodara (20) ; vaishno devi tour package from vadodara (11) ; airfare to srinagar from vadodara (9) ; vadodara to kashmir tour package (6) ; vadodara to vaishno devi tour package (6) ; vadodara to vaishno devi yatra (5) ; vadodara to kashmir (5)
22,1,packages-from-city,/packages/from/ludhiana,Kashmir Tour Packages from Ludhiana,"Kashmir Tour Packages from Ludhiana - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from ludhiana,26,241,2,0.0,1200-1600,"Live round-trip airfare band Ludhiana to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Ludhiana: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Ludhiana, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Ludhiana arrival time, not a generic Day 1 | Best months to fly from Ludhiana and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Ludhiana, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/ludhiana-to-srinagar-flight",ludhiana to kashmir by train (114) ; ludhiana to srinagar by road (25) ; ludhiana to kashmir by road (22) ; ludhiana to kashmir (19) ; ludhiana to kashmir flight (12) ; ludhiana to srinagar (10) ; ludhiana se kashmir kaise jaen (6) ; ludhiana to jammu by road (5)
23,1,packages-from-city,/packages/from/jalandhar,Kashmir Tour Packages from Jalandhar,"Kashmir Tour Packages from Jalandhar - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from jalandhar,20,133,2,0.0,1200-1600,"Live round-trip airfare band Jalandhar to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Jalandhar: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Jalandhar, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Jalandhar arrival time, not a generic Day 1 | Best months to fly from Jalandhar and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Jalandhar, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/jalandhar-to-srinagar-flight",jalandhar to srinagar by road (59) ; jalandhar to srinagar (13) ; jalandhar to kashmir (12) ; jalandhar to kashmir by train (9) ; jalandhar to kashmir train (8) ; jalandhar to srinagar by train (7) ; jalandhar to gulmarg (7) ; jalandhar to kashmir by road (3)
24,1,packages-from-city,/packages/from/kanpur,Kashmir Tour Packages from Kanpur,"Kashmir Tour Packages from Kanpur - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from kanpur,25,217,6,0.0,1200-1600,"Live round-trip airfare band Kanpur to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Kanpur: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Kanpur, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Kanpur arrival time, not a generic Day 1 | Best months to fly from Kanpur and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Kanpur, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/kanpur-to-srinagar-flight",kanpur to kashmir by train (80) ; kanpur se kashmir kaise jaen (41) ; kanpur to kashmir (22) ; kanpur to kashmir flight (18) ; vaishno devi tour package from kanpur (10) ; kanpur se kashmir (7) ; kanpur to vaishno devi trip (5) ; kanpur to srinagar (4)
25,1,packages-from-city,/packages/from/agra,Kashmir Tour Packages from Agra,"Kashmir Tour Packages from Agra - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from agra,34,230,11,0.0,1200-1600,"Live round-trip airfare band Agra to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Agra: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Agra, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Agra arrival time, not a generic Day 1 | Best months to fly from Agra and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Agra, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/agra-to-srinagar-flight",agra to kashmir by train (89) ; agra to kashmir (28) ; agra to srinagar (18) ; agra se kashmir kaise jaen (16) ; agra to kashmir flight (12) ; agra to jammu flight (10) ; agra kashmir (8) ; jammu to delhi jammu to agra (6)
26,1,packages-from-city,/packages/from/jodhpur,Kashmir Tour Packages from Jodhpur,"Kashmir Tour Packages from Jodhpur - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from jodhpur,18,84,3,0.0,1200-1600,"Live round-trip airfare band Jodhpur to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Jodhpur: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Jodhpur, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Jodhpur arrival time, not a generic Day 1 | Best months to fly from Jodhpur and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Jodhpur, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/jodhpur-to-srinagar-flight",jodhpur to kashmir train (13) ; jodhpur to kashmir (13) ; jodhpur to kashmir flight (10) ; kashmir tour package from jodhpur (8) ; jodhpur to srinagar (7) ; jodhpur to kashmir tour package (5) ; jodhpur kashmir (5) ; airfare from jodhpur to srinagar (4)
27,1,packages-from-city,/packages/from/udaipur,Kashmir Tour Packages from Udaipur,"Kashmir Tour Packages from Udaipur - Flights, Fares & Itineraries | Glitz Holidays",kashmir packages from udaipur,9,72,4,1.0,1200-1600,"Live round-trip airfare band Udaipur to SXR, and the carriers that actually fly it | Real flight duration, direct vs via DEL - this changes Day 1 completely | Train option from Udaipur: actual train names/numbers to Jammu Tawi plus the road leg | Three packages priced ex-Udaipur, land-only AND with-flight, per person twin-sharing | Day 1 itinerary written for the actual Udaipur arrival time, not a generic Day 1 | Best months to fly from Udaipur and when fares spike (school holidays, Eid, Christmas) | FAQ: cheapest month from Udaipur, baggage for snow gear, connecting-flight risk | Internal links to the three packages and /routes/udaipur-to-srinagar-flight",udaipur to kashmir (31) ; udaipur to kashmir train (14) ; udaipur to kashmir flight (12) ; udaipur to vaishno devi tour (5) ; udaipur se kashmir kaise jaen (4) ; udaipur kashmir (3) ; udaipur to kashmir flight ticket price (1) ; udaipur to srinagar (1)
